SnomedCTConceptId,Term
367505005,Caucasoid
367505005,Caucasian (living organism)
367505005,Caucasian (living organism) (ethnic group)
393199009,Gypsies
393199009,Gypsies
393199009,Gypsies (ethnic group)
394149000,Gypsies
394149000,Gypsies
394149000,Gypsies (ethnic group)
394635008,Gypsies
394635008,Gypsies
394635008,Traveller - gypsy
394635008,Gypsies (ethnic group)
401213008,White Scottish (ethnic group)
401213008,White Scottish
401214002,Other white British ethnic group (ethnic group)
401214002,Other white British ethnic group
414152003,European (ethnic group)
414152003,European
445343003,Romanian (ethnic group)
445343003,Romanian
718958002,Roma (ethnic group)
718958002,Roma
718958002,Roma ethnic group
718959005,Czech Roma (ethnic group)
718959005,Czech Roma
718960000,Romanian Roma (ethnic group)
718960000,Romanian Roma
718961001,Slovak Roma (ethnic group)
718961001,Slovak Roma
718962008,Bulgarian Roma (ethnic group)
718962008,Bulgarian Roma
718963003,Hungarian Roma (ethnic group)
718963003,Hungarian Roma
718964009,Polish Roma (ethnic group)
718964009,Polish Roma
733078003,Ukrainian
733078003,Ukrainian (ethnic group)
733446001,Canadian
733446001,Canadian (ethnic group)
735001008,Scandinavian (ethnic group)
735001008,Scandinavian
870448005,Khoikhoi
870448005,Khoikhoi (ethnic group)
85871000000107,Bosnian - ethnic category 2001 census
85871000000107,Bosnian - ethnic category 2001 census
85881000000109,Punjabi - ethnic category 2001 census
85881000000109,Punjabi - ethnic category 2001 census
85891000000106,Chinese - ethnic category 2001 census
85891000000106,Chinese - ethnic category 2001 census
86191000000107,Welsh - ethnic category 2001 census
86191000000107,Welsh - ethnic category 2001 census
86201000000109,Serbian - ethnic category 2001 census
86201000000109,Serbian - ethnic category 2001 census
88911000000101,Irish Traveller - ethnic category 2001 census
88911000000101,Irish Traveller - ethnic category 2001 census (finding)
88921000000107,Traveller - ethnic category 2001 census
88921000000107,Traveller - ethnic category 2001 census (finding)
88931000000109,Gypsy/Romany - ethnic category 2001 census
88931000000109,Gypsy/Romany - ethnic category 2001 census (finding)
88941000000100,Polish - ethnic category 2001 census
88941000000100,Polish - ethnic category 2001 census (finding)
88951000000102,Baltic States (Estonian or Latvian or Lithuanian) - ethnic category 2001 census
88951000000102,Baltic States (Estonian or Latvian or Lithuanian) - ethnic category 2001 census (finding)
88961000000104,Commonwealth of (Russian) Independent States - ethnic category 2001 census
88961000000104,Commonwealth of (Russian) Independent States - ethnic category 2001 census (finding)
88971000000106,Albanian - ethnic category 2001 census
88971000000106,Albanian - ethnic category 2001 census (finding)
88981000000108,Serbian - ethnic category 2001 census
88981000000108,Serbian - ethnic category 2001 census (finding)
89001000000105,Arab - ethnic category 2001 census
89001000000105,Arab - ethnic category 2001 census (finding)
89011000000107,Iranian - ethnic category 2001 census
89011000000107,Iranian - ethnic category 2001 census (finding)
92391000000108,British or mixed British - ethnic category 2001 census
92391000000108,British or mixed British - ethnic category 2001 census (finding)
92401000000106,Irish - ethnic category 2001 census
92401000000106,Irish - ethnic category 2001 census (finding)
92411000000108,Other White background - ethnic category 2001 census
92411000000108,Other White background - ethnic category 2001 census (finding)
92461000000105,Pakistani or British Pakistani - ethnic category 2001 census
92461000000105,Pakistani or British Pakistani - ethnic category 2001 census (finding)
92471000000103,Bangladeshi or British Bangladeshi - ethnic category 2001 census
92471000000103,Bangladeshi or British Bangladeshi - ethnic category 2001 census (finding)
92481000000101,Other Asian background - ethnic category 2001 census
92481000000101,Other Asian background - ethnic category 2001 census (finding)
92491000000104,African - ethnic category 2001 census
92491000000104,African - ethnic category 2001 census (finding)
92501000000105,Other Black background - ethnic category 2001 census
92501000000105,Other Black background - ethnic category 2001 census (finding)
92511000000107,Chinese - ethnic category 2001 census
92511000000107,Chinese - ethnic category 2001 census (finding)
92541000000108,Scottish - ethnic category 2001 census
92541000000108,Scottish - ethnic category 2001 census (finding)
92551000000106,Welsh - ethnic category 2001 census
92551000000106,Welsh - ethnic category 2001 census (finding)
92561000000109,Northern Irish - ethnic category 2001 census
92561000000109,Northern Irish - ethnic category 2001 census (finding)
92571000000102,Cornish - ethnic category 2001 census
92571000000102,Cornish - ethnic category 2001 census (finding)
92641000000107,Punjabi - ethnic category 2001 census
92641000000107,Punjabi - ethnic category 2001 census (finding)
92651000000105,Kashmiri - ethnic category 2001 census
92651000000105,Kashmiri - ethnic category 2001 census (finding)
92661000000108,East African Asian - ethnic category 2001 census
92661000000108,East African Asian - ethnic category 2001 census (finding)
92671000000101,Tamil - ethnic category 2001 census
92671000000101,Tamil - ethnic category 2001 census (finding)
92681000000104,British Asian - ethnic category 2001 census
92681000000104,British Asian - ethnic category 2001 census (finding)
92701000000102,Other Asian or Asian unspecified - ethnic category 2001 census
92701000000102,Other Asian or Asian unspecified - ethnic category 2001 census (finding)
92711000000100,Somali - ethnic category 2001 census
92711000000100,Somali - ethnic category 2001 census (finding)
92731000000108,Nigerian - ethnic category 2001 census
92731000000108,Nigerian - ethnic category 2001 census (finding)
92741000000104,Other Black or Black unspecified - ethnic category 2001 census
92741000000104,Other Black or Black unspecified - ethnic category 2001 census (finding)
414978006,Oriental (ethnic group)
414978006,Oriental
414551003,Japanese (ethnic group)
414551003,Japanese
309644006,Black Guyana
309644006,Black Guyana (ethnic group)
309643000,Black West Indian
309643000,Black West Indian (ethnic group)
160531006,Race: West indian
160531006,Race: West indian (finding)
160531006,Race: West indian (ethnic group)
160528005,Race: Afro-Caribbean
160528005,Race: Afro-Caribbean (finding)
160527000,Race: Oriental
160527000,Race: Oriental (finding)
160526009,Race: Korean
160526009,Race: Korean (finding)
160524007,Race: Arab
160524007,Race: Arab (finding)
90027003,Arabs
90027003,Arabs (ethnic group)
59487007,Syrians
59487007,Syrians (ethnic group)
50405005,Senoy
50405005,Senoy (ethnic group)
50405005,Senoi (ethnic group)
50405005,Senoi
28796001,Siamese
28796001,Siamese (ethnic group)
26215007,South Asian Aborigine
26215007,"South Asian Aborigine, NOS"
26215007,South Asian Aborigine (ethnic group)
24812003,Mongoloid
24812003,"Mongoloid, NOS"
24812003,Mongoloid (ethnic group)
24812003,Mongol (ethnic group)
24812003,Mongol
21993009,Indonesians
21993009,Indonesians (ethnic group)
15643001,Japanese
15643001,Race: Japanese
15643001,Race: Japanese (finding)
2852001,Bhutanese
2852001,Bhutanese (ethnic group)
1919006,Egyptians
1919006,Egyptians (ethnic group)
1340002,Malayans
1340002,Malayans (ethnic group)
1340002,Malays (ethnic group)
1340002,Malays
312859007,Vietnamese
312859007,Vietnamese (ethnic group)
86461000000107,Sri Lankan - ethnic category 2001 census
86461000000107,Sri Lankan - ethnic category 2001 census (finding)
704391000,Bidayuh
704391000,Bidayuh (ethnic group)
413569000,Arab (ethnic group)
413569000,Arab
413465009,Afro-Caribbean (ethnic group)
413465009,Afro-Caribbean
69983001,Irani
69983001,Irani (ethnic group)
38361009,Koreans
38361009,Koreans (ethnic group)
12556008,Tamils
12556008,Tamils (ethnic group)
270460000,Black Caribbean/W.I./Guyana
270460000,Black Caribbean/W.I./Guyana (ethnic group)
270460000,Black Caribbean/West India/Guyana
270460000,Black Caribbean/West India/Guyana (ethnic group)
92751000000101,Vietnamese - ethnic category 2001 census
92751000000101,Vietnamese - ethnic category 2001 census (finding)
92761000000103,Japanese - ethnic category 2001 census
92761000000103,Japanese - ethnic category 2001 census (finding)
92771000000105,Filipino - ethnic category 2001 census
92771000000105,Filipino - ethnic category 2001 census (finding)
92781000000107,Malaysian - ethnic category 2001 census
92781000000107,Malaysian - ethnic category 2001 census (finding)
92791000000109,Cypriot (part not stated) - ethnic category 2001 census
92791000000109,Cypriot (part not stated) - ethnic category 2001 census (finding)
93921000000101,Ulster Scots - ethnic category 2001 census
93921000000101,Ulster Scots - ethnic category 2001 census (finding)
93931000000104,Greek - ethnic category 2001 census
93931000000104,Greek - ethnic category 2001 census (finding)
93941000000108,Greek Cypriot - ethnic category 2001 census
93941000000108,Greek Cypriot - ethnic category 2001 census (finding)
93951000000106,Turkish Cypriot - ethnic category 2001 census
93951000000106,Turkish Cypriot - ethnic category 2001 census (finding)
93961000000109,Italian - ethnic category 2001 census
93961000000109,Italian - ethnic category 2001 census (finding)
93981000000100,Kosovan - ethnic category 2001 census
93981000000100,Kosovan - ethnic category 2001 census (finding)
93991000000103,Bosnian - ethnic category 2001 census
93991000000103,Bosnian - ethnic category 2001 census (finding)
94001000000108,Croatian - ethnic category 2001 census
94001000000108,Croatian - ethnic category 2001 census (finding)
94011000000105,Other republics which made up the former Yugoslavia - ethnic category 2001 census
94011000000105,Other republics which made up the former Yugoslavia - ethnic category 2001 census (finding)
94021000000104,Mixed Irish and other White - ethnic category 2001 census
94021000000104,Mixed Irish and other White - ethnic category 2001 census (finding)
94031000000102,Other mixed White - ethnic category 2001 census
94031000000102,Other mixed White - ethnic category 2001 census (finding)
94041000000106,Other White European or European unspecified or Mixed European - ethnic category 2001 census
94041000000106,Other White European or European unspecified or Mixed European - ethnic category 2001 census (finding)
94051000000109,Other White or White unspecified - ethnic category 2001 census
94051000000109,Other White or White unspecified - ethnic category 2001 census (finding)
94101000000109,Moroccan - ethnic category 2001 census
94101000000109,Moroccan - ethnic category 2001 census (finding)
98281000000104,Other White background - ethnic category 2001 census
98281000000104,Other White background - ethnic category 2001 census
98291000000102,English - ethnic category 2001 census
98291000000102,English - ethnic category 2001 census
98301000000103,Scottish - ethnic category 2001 census
98301000000103,Scottish - ethnic category 2001 census
98311000000101,Cornish - ethnic category 2001 census
98311000000101,Cornish - ethnic category 2001 census
98321000000107,Northern Irish - ethnic category 2001 census
98321000000107,Northern Irish - ethnic category 2001 census
98331000000109,Ulster Scots - ethnic category 2001 census
98331000000109,Ulster Scots - ethnic category 2001 census
98341000000100,Cypriot (part not stated) - ethnic category 2001 census
98341000000100,Cypriot (part not stated) - ethnic category 2001 census
98351000000102,Greek - ethnic category 2001 census
98351000000102,Greek - ethnic category 2001 census
98361000000104,Greek Cypriot - ethnic category 2001 census
98361000000104,Greek Cypriot - ethnic category 2001 census
98371000000106,Turkish - ethnic category 2001 census
98371000000106,Turkish - ethnic category 2001 census
